Material Category,Material Type,Business Group,Employee Count,Total Disposed Tons,Material Tons Disposed,Percent of Disposal,Total Curbside Recycle Tons,Material Tons in Curbside Recycle,Percent of Curbside Recycle,Total Curbside Organics Tons,Material Tons in Curbside Organics,Percent of Curbside Organics,Total Other Diversion Tons,Material Tons in Other Diversion,Percent of Other Diversion,Material Tons Generated (Sum of all Streams),Percent of Total Generation
Metal,Used Oil Filters,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Metal,Other Ferrous,Restaurants,12,29,0,0.4%,3,0,0.0%,2,0,0.0%,1,0,0.1%,0,0.4%
Metal,Aluminum Cans,Restaurants,12,29,0,0.1%,3,0,0.2%,2,0,0.0%,1,0,2.5%,0,0.2%
Metal,Other Non-Ferrous,Restaurants,12,29,0,0.2%,3,0,0.1%,2,0,0.1%,1,0,0.0%,0,0.2%
Metal,Remainder / Composite Metal,Restaurants,12,29,0,0.3%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.2%
Electronics,Brown Goods,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Electronics,Computer-related Electronics,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.1%,0,0.0%
Electronics,Other Small Consumer Electronics,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Electronics,Video Display Devices,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Plastic,PETE Plastic Containers,Restaurants,12,29,0,0.6%,3,0,2.6%,2,0,0.2%,1,0,0.1%,0,0.7%
Plastic,HDPE Plastic Containers,Restaurants,12,29,0,0.6%,3,0,2.5%,2,0,0.0%,1,0,0.0%,0,0.7%
Plastic,Miscellaneous Plastic Containers,Restaurants,12,29,0,0.4%,3,0,0.8%,2,0,0.1%,1,0,0.0%,0,0.4%
Plastic,Plastic Trash Bags,Restaurants,12,29,1,3.3%,3,0,0.3%,2,0,0.1%,1,0,0.0%,1,2.7%
Plastic,Plastic Grocery and Other Merchandise Bags,Restaurants,12,29,0,0.1%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.1%
Plastic,Non-Bag Commercial and Industrial Packaging Film,Restaurants,12,29,0,0.0%,3,0,0.1%,2,0,0.1%,1,0,0.0%,0,0.0%
Plastic,Film Products,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Plastic,Other Film - Other,Restaurants,12,29,1,3.3%,3,0,1.4%,2,0,0.8%,1,0,0.0%,1,2.9%
Plastic,Durable Plastic Items - #2 and #5 Bulky Rigids,Restaurants,12,29,0,0.0%,3,0,1.4%,2,0,0.0%,1,0,0.1%,0,0.2%
Plastic,Durable Plastic Items - Other,Restaurants,12,29,0,0.2%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.2%
Plastic,Remainder / Composite Plastic,Restaurants,12,29,1,3.7%,3,0,0.5%,2,0,0.0%,1,0,0.0%,1,3.1%
Other Organic,Food,Restaurants,12,29,15,50.8%,3,0,5.6%,2,1,73.2%,1,0,20.7%,17,47.2%
Other Organic,Leaves and Grass,Restaurants,12,29,1,1.8%,3,0,0.0%,2,0,15.3%,1,0,0.0%,1,2.4%
Other Organic,Prunings and Trimmings,Restaurants,12,29,0,0.4%,3,0,1.1%,2,0,0.0%,1,0,0.0%,0,0.4%
Other Organic,Branches and Stumps,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Other Organic,Manures,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Other Organic,Textiles,Restaurants,12,29,0,0.7%,3,0,0.0%,2,0,0.2%,1,0,0.0%,0,0.6%
Other Organic,Carpet,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Other Organic,Remainder / Composite Organic,Restaurants,12,29,0,1.2%,3,0,0.5%,2,0,0.0%,1,0,0.0%,0,1.0%
Inerts and Other,Concrete,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Inerts and Other,Asphalt Paving,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Inerts and Other,Asphalt Roofing,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Inerts and Other,Clean Dimensional Lumber,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Inerts and Other,Clean Engineered Wood,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Inerts and Other,Clean Pallets & Crates,Restaurants,12,29,0,0.8%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.6%
Inerts and Other,Other Wood Waste,Restaurants,12,29,0,0.4%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.4%
Inerts and Other,Gypsum Board,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Inerts and Other,"Rock, Soil and Fines",Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Inerts and Other,Remainder / Composite Inerts and Other,Restaurants,12,29,0,0.0%,3,0,0.1%,2,0,0.0%,1,0,0.0%,0,0.0%
Household Hazardous Waste (HHW),Paint,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Household Hazardous Waste (HHW),Vehicle and Equipment Fluids,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Household Hazardous Waste (HHW),Used Oil,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Household Hazardous Waste (HHW),Batteries,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Household Hazardous Waste (HHW),Remainder / Composite Household Hazardous,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Special Waste,Ash,Restaurants,12,29,0,0.6%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.5%
Special Waste,Treated Medical Waste,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Special Waste,Bulky Items,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Special Waste,Tires,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Special Waste,Remainder / Composite Special Waste,Restaurants,12,29,0,0.0%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.0%
Mixed Residue,Mixed Residue,Restaurants,12,29,0,0.1%,3,0,0.0%,2,0,0.0%,1,0,0.0%,0,0.1%
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
