material_category,material_tons_generated_sum_of_all_streams,employee_count
Glass,0,8
Glass,0,8
Glass,0,8
Glass,0,8
Metal,0,8
Metal,0,8
Metal,0,8
Metal,0,8
Metal,0,8
Metal,0,8
Metal,0,8
Electronics,0,8
Electronics,0,8
Electronics,0,8
Electronics,0,8
Plastic,0,8
Plastic,0,8
Plastic,0,8
Plastic,1,8
Plastic,0,8
Plastic,0,8
Plastic,0,8
Plastic,1,8
Plastic,0,8
Plastic,0,8
Plastic,1,8
Other Organic,11,8
Other Organic,1,8
Other Organic,0,8
Other Organic,0,8
Other Organic,0,8
Other Organic,0,8
Other Organic,0,8
Other Organic,0,8
Inerts and Other,0,8
Inerts and Other,0,8
Inerts and Other,0,8
Inerts and Other,0,8
Inerts and Other,0,8
Inerts and Other,0,8
Inerts and Other,0,8
Inerts and Other,0,8
Inerts and Other,0,8
Inerts and Other,0,8
Household Hazardous Waste (HHW),0,8
Household Hazardous Waste (HHW),0,8
Household Hazardous Waste (HHW),0,8
Household Hazardous Waste (HHW),0,8
Household Hazardous Waste (HHW),0,8
Special Waste,0,8
Special Waste,0,8
Special Waste,0,8
Special Waste,0,8
Special Waste,0,8
Mixed Residue,0,8
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
Paper,2,9
Paper,0,9
Paper,1,9
Paper,0,9
Paper,0,9
Paper,0,9
Paper,0,9
Paper,0,9
Paper,0,9
Paper,3,9
Paper,1,9
Glass,1,9
Glass,0,9
Glass,0,9
Glass,0,9
Glass,0,9
Glass,0,9
Metal,0,9
Metal,0,9
Metal,0,9
Metal,0,9
Metal,0,9
Metal,0,9
Metal,0,9
Electronics,0,9
Electronics,0,9
Electronics,0,9
Electronics,0,9
Plastic,0,9
Plastic,0,9
Plastic,0,9
Plastic,1,9
Plastic,0,9
Plastic,0,9
Plastic,0,9
Plastic,1,9
Plastic,0,9
Plastic,0,9
Plastic,1,9
Other Organic,12,9
Other Organic,1,9
Other Organic,0,9
Other Organic,0,9
Other Organic,0,9
Other Organic,0,9
Other Organic,0,9
Other Organic,0,9
Inerts and Other,0,9
Inerts and Other,0,9
Inerts and Other,0,9
Inerts and Other,0,9
Inerts and Other,0,9
Inerts and Other,0,9
Inerts and Other,0,9
Inerts and Other,0,9
Inerts and Other,0,9
Inerts and Other,0,9
Household Hazardous Waste (HHW),0,9
Household Hazardous Waste (HHW),0,9
Household Hazardous Waste (HHW),0,9
Household Hazardous Waste (HHW),0,9
Household Hazardous Waste (HHW),0,9
Special Waste,0,9
Special Waste,0,9
Special Waste,0,9
Special Waste,0,9
Special Waste,0,9
Mixed Residue,0,9
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
